Email,Courses 1,Course 1 Section,Course 1 HW_No,Course 1 HW_Grade,Courses 2,Course 2 Section,Course 2 HW_No,Course 2 HW_Grade,Courses 3,Course 3 Section,Course 3 HW_No,Course 3 HW_Grade
aly8942@lionstate.edu,EE320,1,1,93,EE212,1,1,85,CMPEN454,2,1,90
amu1270@lionstate.edu,PHYS212,2,1,95,IST110,1,1,64,CMPEN331,1,1,60
aki5907@lionstate.edu,CMPEN411,2,1,79,MATH231,1,1,80,CHEM111,1,1,74
ash5820@lionstate.edu,CMPSC360,1,1,60,CMPEN431,2,1,69,EE330,1,1,67
ale8219@lionstate.edu,CMPSC497,2,1,97,CMPSC461,1,1,96,CMPSC475,2,1,97
ale8939@lionstate.edu,CMPSC360,1,1,88,PHYS213,1,1,75,ECON101,1,1,94
ahi5324@lionstate.edu,CMPEN351,2,1,75,STAT414,1,1,80,MATH230,2,1,84
abe4600@lionstate.edu,PHYS211,1,1,78,CMPEN270,1,1,96,STAT319,2,1,95
akr4205@lionstate.edu,CMPSC465,2,1,71,STAT414,1,1,96,STAT415,1,1,80
ato9019@lionstate.edu,PHYS214,2,1,96,IST558,1,1,86,CSE583,2,1,70
asc2712@lionstate.edu,CSE583,2,1,67,CMPSC360,1,1,73,IST110,2,1,76
aha9325@lionstate.edu,STAT414,2,1,80,EE353,2,1,62,CMPSC448,1,1,67
abo7856@lionstate.edu,CMPEN441,2,1,72,CMPEN351,2,1,63,PHYS214,1,1,67
atr9605@lionstate.edu,CMPEN431,1,1,90,CMPSC221,2,1,60,PHYS211,1,1,90
aok9861@lionstate.edu,PHYS212,2,1,79,CSE583,2,1,80,DS220,2,1,79
ali8897@lionstate.edu,EE352,1,1,65,ECON102,2,1,90,CMPSC132,1,1,82
abe6138@lionstate.edu,EE340,1,1,67,EE212,2,1,87,EE211,1,1,82
ale7189@lionstate.edu,CHEM111,1,1,76,EE210,2,1,84,EE352,1,1,80
aja3132@lionstate.edu,STAT318,1,1,66,EE210,1,1,91,EE212,1,1,90
aro5704@lionstate.edu,CSE543,2,1,72,CHEM111,1,1,77,DS120,1,1,85
amo7945@lionstate.edu,CMPSC461,1,1,79,MATH230,1,1,61,CHEM111,1,1,85
ast1122@lionstate.edu,IST558,2,1,73,MATH231,1,1,87,EE210,1,1,100
azu5256@lionstate.edu,IST110,2,1,76,MATH140,2,1,71,STAT318,2,1,86
abo9166@lionstate.edu,MATH140,2,1,78,CHEM110,1,1,95,CMPSC475,2,1,96
apa5949@lionstate.edu,CMPEN454,1,1,79,IST558,1,1,97,CMPEN441,1,1,65
aga6525@lionstate.edu,DS220,1,1,75,CMPSC448,1,1,69,MATH231,1,1,100
ami4349@lionstate.edu,MATH140,2,1,69,CMPEN454,1,1,73,IST558,2,1,84
abr9092@lionstate.edu,CHEM110,1,1,85,EE353,2,1,64,CMPEN362,1,1,74
ahe1989@lionstate.edu,IST128,1,1,74,STAT319,1,1,88,DS120,2,1,66
ade2931@lionstate.edu,EE311,1,1,96,CHEM111,2,1,76,CSE543,1,1,79
awi2065@lionstate.edu,PHYS213,2,1,98,ECON201,2,1,83,EE353,2,1,97
lje9488@lionstate.edu,MATH140,2,1,95,CHEM112,1,1,93,STAT318,2,1,61
rbr2525@lionstate.edu,EE320,1,1,60,DS120,2,1,74,ECON101,2,1,94
ldi6656@lionstate.edu,IST110,2,1,62,CMPSC475,1,1,66,MATH231,2,1,67
mdi4539@lionstate.edu,CMPEN431,2,1,66,CMPSC360,2,1,66,EE330,2,1,67
kfa9089@lionstate.edu,CMPEN362,2,1,91,CMPEN331,1,1,66,PHYS211,1,1,84
pzi2408@lionstate.edu,CHEM112,1,1,98,CHEM111,1,1,78,EE212,2,1,77
mru3359@lionstate.edu,STAT319,1,1,68,CMPSC132,2,1,90,CMPEN431,1,1,70
sco1712@lionstate.edu,PHYS211,2,1,96,CMPSC448,1,1,75,CMPSC221,2,1,93
tpa5190@lionstate.edu,IST128,2,1,81,PHYS214,1,1,84,MATH230,2,1,96
ihi8422@lionstate.edu,CMPEN331,2,1,87,CMPEN362,1,1,73,PHYS213,1,1,64
mel3938@lionstate.edu,EE311,1,1,97,STAT319,1,1,91,CMPEN454,1,1,98
pri2221@lionstate.edu,CMPSC461,1,1,93,STAT415,2,1,68,IST110,2,1,86
nku3451@lionstate.edu,EE211,1,1,73,EE210,1,1,85,IST558,2,1,84
